Longitud,Latitud,Grupo
-113.8361059,29.45587251,2.1
-113.8321952,29.45166283,2.1
-113.8317559,29.43550232,2.1
-113.8250078,29.42945368,2.1
-113.8054956,29.42593557,2.1
-113.7978822,29.41771505,2.1
-113.7888659,29.41720812,2.1
-113.7864868,29.41377803,2.1
-113.7738172,29.41053003,2.1
-113.7617627,29.39138525,2.1
-113.7298961,29.36695238,2.1
-113.7223391,29.36256488,2.1
-113.7165508,29.34908285,2.1
-113.7051861,29.33967918,2.1
-113.6950226,29.32438902,2.1
-113.6807552,29.31637817,2.1
-113.6668686,29.30364552,2.1
-113.6582703,29.30206066,2.1
-113.656385,29.29691845,2.1
-113.646042,29.29175286,2.1
-113.6375125,29.28339788,2.1
-113.6330958,29.27450783,2.1
-113.6316952,29.26478725,2.1
-113.6251493,29.25286226,2.1
-113.6346682,29.24521526,2.1
-113.6433769,29.23224098,2.1
-113.6530314,29.22412854,2.1
-113.6568685,29.21406032,2.1
-113.6541033,29.20553205,2.1
-113.6453519,29.20285612,2.1
-113.639311,29.1982136,2.1
-113.6425717,29.18432409,2.1
-113.6365298,29.17929365,2.1
-113.6358782,29.173489,2.1
-113.6264655,29.17454625,2.1
-113.622849,29.16173398,2.1
-113.6082773,29.15724855,2.1
-113.6039238,29.14387349,2.1
-113.5928323,29.13027838,2.1
-113.5834949,29.12737446,2.1
-113.5773006,29.11907978,2.1
-113.5713773,29.116858,2.1
-113.5670183,29.10818915,2.1
-113.5671919,29.09440074,2.1
-113.5623699,29.0854188,2.1
-113.5570103,29.08205069,2.1
-113.5481636,29.06547949,2.1
-113.5384952,29.05795466,2.1
-113.5376365,29.03678535,2.1
-113.5442673,29.04043962,2.1
-113.5524268,29.03599097,2.1
-113.5604485,29.02361168,2.1
-113.5630567,29.01115235,2.1
-113.5604165,28.9992204,2.1
-113.5505502,28.9909842,2.1
-113.5474304,28.98509915,2.1
-113.5452989,28.96350248,2.1
-113.5564473,28.95419171,2.1
-113.5576642,28.94844094,2.1
-113.5475674,28.93383046,2.1
-113.5451327,28.92310992,2.1
-113.5397343,28.91786288,2.1
-113.5354227,28.90687529,2.1
-113.526768,28.90007528,2.1
-113.5252864,28.8925762,2.1
-113.5128001,28.88934332,2.1
-113.4963978,28.88955195,2.1
-113.4828329,28.89284142,2.1
-113.4715203,28.91313292,2.1
-113.4724473,28.91681678,2.1
-113.4832457,28.9208042,2.1
-113.4873057,28.92837502,2.1
-113.4806937,28.9312584,2.1
-113.481422,28.94182706,2.1
-113.4703662,28.94929386,2.1
-113.4602876,28.94372855,2.1
-113.4528494,28.9493438,2.1
-113.4323684,28.95173911,2.1
-113.4245128,28.94954026,2.1
-113.4288782,28.93518405,2.1
-113.4232976,28.92821909,2.1
-113.4152365,28.92340638,2.1
-113.4038928,28.92642014,2.1
-113.4050736,28.93139574,2.1
-113.3972066,28.93686652,2.1
-113.3871066,28.93995903,2.1
-113.3829826,28.93591258,2.1
-113.3894868,28.93061809,2.1
-113.3942725,28.92007702,2.1
-113.3925845,28.91263657,2.1
-113.3747902,28.90868929,2.1
-113.3684712,28.90367731,2.1
-113.3794613,28.9004024,2.1
-113.3792379,28.89099555,2.1
-113.3720963,28.88606809,2.1
-113.368006,28.87769928,2.1
-113.3616118,28.87633795,2.1
